%time,field.x,field.y,field.z
1583762898148491730,-0.0456337029641,-0.00879264630724,-0.00541593440594
1583762898247807457,-0.0451454238721,-0.00927400350889,-0.00516301586166
1583762898348318421,-0.0450248169727,-0.00914617381352,-0.00492225531963
1583762898447883603,-0.0450267756933,-0.0090158993111,-0.00455888150443
1583762898548269801,-0.0450281389351,-0.00888837076679,-0.00431754833015
1583762898648386384,-0.0445413087838,-0.00875989449132,-0.00407837588297
1583762898747874491,-0.0440534473325,-0.00887829664143,-0.00395580530981
1583762898847764643,-0.0434405813702,-0.00937325631078,-0.00431407349848
1583762898948037896,-0.0436827450802,-0.00853813901711,-0.00518587686605
1583762899047697902,-0.0429426898544,-0.00809529530915,-0.00739632704835
1583762899149094158,-0.0407355959472,-0.00837616008085,-0.00959730403714
1583762899247850414,-0.0391460224645,-0.0081436738828,-0.0105852896777
1583762899348090793,-0.0391460224645,-0.0081436738828,-0.0105852896777
1583762899447849872,-0.0360827632419,-0.00840652593101,-0.012545784446
1583762899551117022,-0.0360827632419,-0.00840652593101,-0.012545784446
1583762899647944035,-0.0348601935473,-0.00864518045042,-0.0126688522194
1583762899748453128,-0.0348601935473,-0.00864518045042,-0.0126688522194
1583762899847569899,-0.0332781769799,-0.00873701991733,-0.011453283156
1583762899948711295,-0.0332781769799,-0.00873701991733,-0.011453283156
1583762900047638191,-0.0346209447995,-0.00862466607146,-0.0115714490938
1583762900148202819,-0.0346209447995,-0.00862466607146,-0.0115714490938
1583762900249375774,-0.0346209447995,-0.00862466607146,-0.0115714490938
1583762900348582016,-0.0360855762228,-0.00863302572509,-0.0115649802514
1583762900447895068,-0.0360855762228,-0.00863302572509,-0.0115649802514
1583762900548103522,-0.0373067687132,-0.00851794091033,-0.0115618541602
1583762900647570666,-0.0373067687132,-0.00851794091033,-0.0115618541602
1583762900747558801,-0.0390191890548,-0.00828411559164,-0.0115598363448
1583762900847767347,-0.0390191890548,-0.00828411559164,-0.0115598363448
1583762900948289914,-0.0409714558479,-0.00829773389318,-0.0116735634337
1583762901047916800,-0.0409714558479,-0.00829773389318,-0.0116735634337
1583762901148504159,-0.0409714558479,-0.00829773389318,-0.0116735634337
1583762901247660332,-0.0418264772338,-0.00818060566325,-0.0116724644524
1583762901347988669,-0.0418264772338,-0.00818060566325,-0.0116724644524
1583762901447671457,-0.0425587387578,-0.00818481543905,-0.0116693783344
1583762901547972276,-0.0425587387578,-0.00818481543905,-0.0116693783344
1583762901647856754,-0.0431703509183,-0.00794424777535,-0.0116720677903
1583762901748265913,-0.0431703509183,-0.00794424777535,-0.0116720677903
1583762901847338778,-0.0431703509183,-0.00794424777535,-0.0116720677903
1583762901947959280,-0.0435364722414,-0.00794635275792,-0.0116705669902
1583762902047560907,-0.0435364722414,-0.00794635275792,-0.0116705669902
1583762902148011907,-0.0439030911353,-0.00794578071426,-0.0115470264071
1583762902247385940,-0.0439030911353,-0.00794578071426,-0.0115470264071
1583762902347738564,-0.044268516982,-0.00806989645742,-0.0115428261943
1583762902448404041,-0.044268516982,-0.00806989645742,-0.0115428261943
1583762902548790040,-0.044268516982,-0.00806989645742,-0.0115428261943
1583762902647566673,-0.044268516982,-0.00806989645742,-0.0115428261943
1583762902748047314,-0.044268516982,-0.00806989645742,-0.0115428261943
1583762902847518482,-0.0441474901493,-0.0080638202784,-0.0112992570654
1583762902948698986,-0.0441474901493,-0.0080638202784,-0.0112992570654
1583762903047870985,-0.0445141156643,-0.00806314201772,-0.0111756971721
1583762903148186974,-0.0445141156643,-0.00806314201772,-0.0111756971721
1583762903247934776,-0.0445141156643,-0.00806314201772,-0.0111756971721
1583762903347906529,-0.0445141156643,-0.00806314201772,-0.0111756971721
1583762903447397837,-0.0445141156643,-0.00806314201772,-0.0111756971721
1583762903548880910,-0.0445141156643,-0.00806314201772,-0.0111756971721
1583762903647805784,-0.0445141156643,-0.00806314201772,-0.0111756971721
1583762903747868148,-0.0448847986111,-0.00781884485862,-0.0110582752711
1583762903847413630,-0.0448847986111,-0.00781884485862,-0.0110582752711
1583762903947940222,-0.0448847986111,-0.00781884485862,-0.0110582752711
1583762904047673231,-0.0451290651962,-0.00770088429909,-0.011182085653
1583762904148370588,-0.0451290651962,-0.00770088429909,-0.011182085653
1583762904247650543,-0.0451279006769,-0.00782567593461,-0.0113013773369
1583762904348373166,-0.0451279006769,-0.00782567593461,-0.0113013773369
1583762904447336432,-0.0453719866103,-0.00782703348638,-0.0113003909711
1583762904548488470,-0.0452506227793,-0.00770431501968,-0.011303643236
1583762904647878616,-0.0452506227793,-0.00770431501968,-0.011303643236
1583762904747895792,-0.0452506227793,-0.00770431501968,-0.011303643236
1583762904847550288,-0.045128579706,-0.00770363587619,-0.0113041289348
1583762904947993358,-0.0451292590679,-0.00758159622972,-0.0113068806038
1583762905047590018,-0.045128579706,-0.00770363587619,-0.0113041289348
1583762905148450765,-0.045128579706,-0.00770363587619,-0.0113041289348
1583762905247424300,-0.0450051784531,-0.00794703693965,-0.0112991263351
1583762905348417578,-0.0450045000341,-0.00806907675824,-0.0112963823541
1583762905448010875,-0.0452485868912,-0.0080704330897,-0.0112953663776
1583762905548525120,-0.0454926724029,-0.00807178916566,-0.0112943500758
1583762905648240285,-0.0456140368892,-0.00819450518273,-0.0112910606865
1583762905748031930,-0.0457360788636,-0.00819518272075,-0.0112905448891
1583762905847821052,-0.0458586362468,-0.0081930642935,-0.0111679875059
1583762905948054902,-0.0457359246164,-0.00831443202428,-0.0111657145007
1583762906048101627,-0.0457359246164,-0.00831443202428,-0.0111657145007
1583762906147253512,-0.0457359246164,-0.00831443202428,-0.0111657145007
1583762906247640940,-0.045613882496,-0.00831376226934,-0.0111662374018
1583762906348229031,-0.0454923626481,-0.00831031889482,-0.0110447175538
1583762906447465722,-0.0453703197706,-0.00830965645157,-0.0110452399566
1583762906547693275,-0.0452482765559,-0.00830899394273,-0.01104576228
1583762906648150086,-0.0452482765559,-0.00830899394273,-0.01104576228
1583762906747920893,-0.0451261000225,-0.00842761963731,-0.0109214893867
1583762906847549030,-0.0451267550414,-0.0083055800781,-0.0109242407654
1583762906948289366,-0.0450058806786,-0.00818014091395,-0.0108054615704
1583762907047518388,-0.0451285729034,-0.00805874924742,-0.0108076991193
1583762907148121379,-0.0450060222492,-0.00806084491791,-0.0109302507009
1583762907247454940,-0.0450066783376,-0.00793880485114,-0.0109329948718
1583762907347185378,-0.0450066783376,-0.00793880485114,-0.0109329948718
1583762907447257073,-0.0450073347607,-0.00781676472887,-0.0109357391215
1583762907547920123,-0.0450068425772,-0.00781950890311,-0.0110577829602
1583762907647823741,-0.0448847986111,-0.00781884485862,-0.0110582752711
1583762907748219092,-0.0447600251376,-0.00781768860684,-0.0110581033845
1583762907847697597,-0.0446381674835,-0.007697711932,-0.0111833543431
1583762907948056034,-0.0446391366975,-0.00769226880446,-0.0109392797552
1583762908047953837,-0.0448966780994,-0.00773623398084,-0.00739647594428
