%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1583762880985737689,0.0,0.0,0.0,0.0,0.0,0.0
1583762881085902209,0.0,0.0,0.0,0.0,0.0,0.0
1583762881185793667,0.0,0.0,0.0,0.0,0.0,0.0
1583762881285890039,0.0,0.0,0.0,0.0,0.0,0.0
1583762881385829751,0.0,0.0,0.0,0.0,0.0,0.0
1583762881485945703,0.0,0.0,0.0,0.0,0.0,0.0
1583762881586128767,0.0,0.0,0.0,0.0,0.0,0.0
1583762881685818649,0.0,0.0,0.0,0.0,0.0,0.0
1583762881786012812,0.0,0.0,0.0,0.0,0.0,0.0
1583762881885914284,0.0,0.0,0.0,0.0,0.0,0.0
1583762881985847865,0.0,0.0,0.0,0.0,0.0,0.0
1583762882085992616,0.0,0.0,0.0,0.0,0.0,0.0
1583762882186038666,0.0,0.0,0.0,0.0,0.0,0.0
1583762882285947447,0.0,0.0,0.0,0.0,0.0,0.0
1583762882386202929,0.0,0.0,0.0,0.0,0.0,0.0
1583762882485932430,0.0,0.0,0.0,0.0,0.0,0.0
1583762882585991996,0.0,0.0,0.0,0.0,0.0,0.0
1583762882685963845,0.0,0.0,0.0,0.0,0.0,0.0
1583762882785879882,0.0,0.0,0.0,0.0,0.0,0.0
1583762882885879824,0.0,0.0,0.0,0.0,0.0,0.0
1583762882988248603,0.0,0.0,0.0,0.0,0.0,0.0
1583762883085902980,0.0,0.0,0.0,0.0,0.0,0.0
1583762883185861938,0.0,0.0,0.0,0.0,0.0,0.0
1583762883285822457,0.0,0.0,0.0,0.0,0.0,0.0
1583762883386031456,0.0,0.0,0.0,0.0,0.0,0.0
1583762883485944396,0.0,0.0,0.0,0.0,0.0,0.0
1583762883586792826,0.0,0.0,0.0,0.0,0.0,0.0
1583762883685987766,0.0,0.0,0.0,0.0,0.0,0.0
1583762883787851505,0.0,0.0,0.0,0.0,0.0,0.0
1583762883885878115,0.0,0.0,0.0,0.0,0.0,0.0
1583762883985927334,0.0,0.0,0.0,0.0,0.0,0.0
1583762884086011416,0.0,0.0,0.0,0.0,0.0,0.0
1583762884185832830,0.0,0.0,0.0,0.0,0.0,0.0
1583762884285915190,0.0,0.0,0.0,0.0,0.0,0.0
1583762884387923140,0.0,0.0,0.0,0.0,0.0,0.0
1583762884485853570,0.0,0.0,0.0,0.0,0.0,0.0
1583762884585818176,0.0,0.0,0.0,0.0,0.0,0.0
1583762884685900748,0.0,0.0,0.0,0.0,0.0,0.0
1583762884785975403,0.0,0.0,0.0,0.0,0.0,0.0
1583762884885932289,0.0,0.0,0.0,0.0,0.0,0.0
1583762884986060169,0.0,0.0,0.0,0.0,0.0,0.0
1583762885085942116,0.0,0.0,0.0,0.0,0.0,0.0
1583762885186178253,0.0,0.0,0.0,0.0,0.0,0.0
1583762885285858321,0.0,0.0,0.0,0.0,0.0,0.0
1583762885385779417,0.0,0.0,0.0,0.0,0.0,0.0
1583762885485904753,0.0,0.0,0.0,0.0,0.0,0.0
1583762885585825516,0.0,0.0,0.0,0.0,0.0,0.0
1583762885685832390,0.0,0.0,0.0,0.0,0.0,0.0
1583762885786125223,0.0,0.0,0.0,0.0,0.0,0.0
1583762885885932229,0.0,0.0,0.0,0.0,0.0,0.0
1583762885986006511,0.0,0.0,0.0,0.0,0.0,0.0
1583762886085965444,0.0,0.0,0.0,0.0,0.0,0.0
1583762886185774734,0.0,0.0,0.0,0.0,0.0,0.0
1583762886285959688,0.0,0.0,0.0,0.0,0.0,0.0
1583762886385843330,0.0,0.0,0.0,0.0,0.0,0.0
1583762886485916091,0.0,0.0,0.0,0.0,0.0,0.0
1583762886585802955,0.0,0.0,0.0,0.0,0.0,0.0
1583762886685881578,0.0,0.0,0.0,0.0,0.0,0.0
1583762886785827589,0.0,0.0,0.0,0.0,0.0,0.0
1583762886886005586,0.0,0.0,0.0,0.0,0.0,0.0
1583762886985819564,0.0,0.0,0.0,0.0,0.0,0.0
1583762887086060201,0.0,0.0,0.0,0.0,0.0,0.0
1583762887185764176,0.0,0.0,0.0,0.0,0.0,0.0
1583762887285980043,0.0,0.0,0.0,0.0,0.0,0.0
1583762887385938081,0.0,0.0,0.0,0.0,0.0,0.0
1583762887485909272,0.0,0.0,0.0,0.0,0.0,0.0
1583762887585776765,0.0,0.0,0.0,0.0,0.0,0.0
1583762887685950907,0.0,0.0,0.0,0.0,0.0,0.0
1583762887785978914,0.0,0.0,0.0,0.0,0.0,0.0
1583762887885853218,0.0,0.0,0.0,0.0,0.0,0.0
1583762887986068674,0.0,0.0,0.0,0.0,0.0,0.0
1583762888085847427,0.0,0.0,0.0,0.0,0.0,0.0
1583762888186168836,0.0,0.0,0.0,0.0,0.0,0.0
1583762888285893345,0.0,0.0,0.0,0.0,0.0,0.0
1583762888386101161,0.0,0.0,0.0,0.0,0.0,0.0
1583762888485901756,0.0,0.0,0.0,0.0,0.0,0.0
1583762888586156564,0.0,0.0,0.0,0.0,0.0,0.0
1583762888685861189,0.0,0.0,0.0,0.0,0.0,0.0
1583762888786019633,0.0,0.0,0.0,0.0,0.0,0.0
