%time,field.x,field.y,field.theta
1583763085157046466,1.21435952054,-0.0856832809602,0.222168367206
1583763085262946271,1.212854209,-0.0692773172193,0.20088510344
1583763085358691993,1.21383089829,-0.0545914391571,0.179760008883
1583763085460595502,1.21235934678,-0.0376434889154,0.157647067953
1583763085558639337,1.21249608733,-0.0295696961953,0.136104859037
1583763085662426277,1.21320083549,-0.0175725957396,0.115235557037
1583763085760816615,1.21265402041,-0.000397590734139,0.0955979842162
1583763085861852408,1.2117507807,0.0191077868944,0.0725702046366
1583763085959535780,1.21178673903,0.0338923384125,0.0517130635471
1583763086074903116,1.2118768136,0.0485535274231,0.0313009860432
1583763086160264027,1.21159753737,0.0562976190735,0.0106420832017
1583763086262657517,1.21244566003,0.0656206065652,-0.00940756632593
1583763086360423098,1.21193464472,0.0805213153338,-0.0285655801815
1583763086463107646,1.21284050304,0.0936789658136,-0.0498549864018
1583763086560914607,1.21228022304,0.10586284754,-0.0704333603632
1583763086664423387,1.21227119338,0.128004538431,-0.091874582439
1583763086760626389,1.21265522142,0.138236704324,-0.112814695169
1583763086865106645,1.21207518744,0.152993840138,-0.134882949938
1583763086967662251,1.21261988687,0.165073731423,-0.155964014098
1583763087063860715,1.21152014015,0.181914679807,-0.177467845278
1583763087161618915,1.2115436143,0.200653884443,-0.198397397174
1583763087405677994,1.21173826421,0.217665856059,-0.221491971115
1583763087415963087,1.21095406102,0.232743488594,-0.24305790585
1583763087463999927,1.20862058964,0.248329202001,-0.261597484639
1583763087567048949,1.20913155591,0.259511385052,-0.284355062303
1583763087665254156,1.20803767061,0.279011166276,-0.305143764803
1583763087785857053,1.20879308519,0.295802857409,-0.326980355313
1583763087877299217,1.20801641658,0.313791083976,-0.346862045181
1583763087963938393,1.20711606787,0.330460398859,-0.368794615788
1583763088064677368,1.20569851449,0.348063746994,-0.389302881851
1583763088166238245,1.20606605377,0.365874920986,-0.410582111836
1583763088268440097,1.20662027581,0.377354568567,-0.429943350325
1583763088366785218,1.20715148542,0.385785502688,-0.451442548868
1583763088472500603,1.20687015378,0.395950990553,-0.470702998316
1583763088568890009,1.20549346004,0.414888299663,-0.489699588822
1583763088672266386,1.20564791124,0.433530683034,-0.512847351533
1583763088775543665,1.20398016267,0.452034436622,-0.532558677909
1583763088863786848,1.20435170487,0.471693274295,-0.553859662167
1583763088962890852,1.20299598961,0.48201570456,-0.57382006617
1583763089073576452,1.20389376866,0.49684469236,-0.596795618046
1583763089165620812,1.20381150442,0.505386784425,-0.617653170204
1583763089268027999,1.20394877834,0.507114538776,-0.639431829835
1583763089371079894,1.20460679263,0.502763826206,-0.660796034132
1583763089466105815,1.20470334365,0.506106418932,-0.673036428152
1583763089563761263,1.20582197725,0.497050852654,-0.677117634939
1583763089670257846,1.20554251941,0.496512826616,-0.677218009537
1583763089766644541,1.20559737888,0.48980593827,-0.677732796195
1583763089868723749,1.20630115116,0.486939585708,-0.680091659867
1583763089970814676,1.2058643371,0.47847748755,-0.679950387525
1583763090068123142,1.20475665997,0.475808940367,-0.678809558471
1583763090165516396,1.20457473537,0.475681689665,-0.679164110784
1583763090272308626,1.20530558916,0.478845580561,-0.679814729047
1583763090367548318,1.20509450237,0.473782762754,-0.679729210046
1583763090478220820,1.20513229188,0.473519047303,-0.679586130991
1583763090568815145,1.20527105014,0.474959619478,-0.67988145573
1583763090671288371,1.20494815111,0.473486668544,-0.679580204522
1583763090772404720,1.20605057205,0.479120695203,-0.680163516785
1583763090874922288,1.2044650654,0.475618353451,-0.679786509108
1583763090970149202,1.20503490925,0.474288882587,-0.6794582845
1583763091079571798,1.20480219182,0.474301895254,-0.679480777783
1583763091171285076,1.20436951438,0.474507811148,-0.679341941135
1583763091272359079,1.20445511557,0.477686574115,-0.679310197623
1583763091367666019,1.20478474291,0.477321309031,-0.679698294319
1583763091469359347,1.20388752695,0.477010326823,-0.678811879496
1583763091570711148,1.20357325508,0.476311081159,-0.678467762933
1583763091679322040,1.20511216913,0.47345214079,-0.679128183404
1583763091768286769,1.20457849078,0.473851457957,-0.679183816649
1583763091893582647,1.20484870256,0.473233754817,-0.679402772503
1583763091971953116,1.20513534754,0.47449746196,-0.679820201507
1583763092073268579,1.20380347868,0.476691099543,-0.678738055833
1583763092169901713,1.20442724374,0.472124697842,-0.679193889587
1583763092291987459,1.20462080409,0.47751559654,-0.679182580725
1583763092374856771,1.20292546338,0.474245475025,-0.677594811308
1583763092476962362,1.20453673928,0.473377155225,-0.679502546453
1583763092576086190,1.2043826596,0.474639466955,-0.679898583771
1583763092673930249,1.20461334688,0.473440366951,-0.679200961755
1583763092772514759,1.20525072174,0.475178527399,-0.680555740376
1583763092881794904,1.20372278209,0.478072268263,-0.679102789223
1583763092971824037,1.20379755039,0.476205474626,-0.678770451231
1583763093077641800,1.20341948032,0.472155673503,-0.678548951885
1583763093194502247,1.20265769061,0.474207456394,-0.678212512976
1583763093278905411,1.20401650173,0.476605526218,-0.678650953866
1583763093373335660,1.2036159081,0.47719108812,-0.678534341083
1583763093482526970,1.20280438244,0.47831236435,-0.678360882663
1583763093645496230,1.20430192525,0.472336043872,-0.67908273554
1583763093672812393,1.2042092597,0.473372214791,-0.678661477581
1583763093781735302,1.20451695961,0.474223017035,-0.679421634862
1583763093879087657,1.20424819538,0.472540756655,-0.678860359665
1583763093976779691,1.20416342493,0.476917623316,-0.679433479995
1583763094078094769,1.20434325072,0.47710439892,-0.679354219912
1583763094174599152,1.20378396852,0.476153205254,-0.678990996585
1583763094277773903,1.20365261311,0.476114509394,-0.67851030711
1583763094382775096,1.20471381646,0.478954943031,-0.679378313265
1583763094474124014,1.20402877131,0.477176277704,-0.678735118034
1583763094575047712,1.20377912484,0.475808003341,-0.678789475401
1583763094674329491,1.20417973505,0.474630951529,-0.678610992688
1583763094776669280,1.20468508599,0.474494540202,-0.6796788549
1583763094875480572,1.20459688211,0.474518206537,-0.679035065
1583763094981976880,1.20423919494,0.474882367796,-0.679173499067
1583763095074491301,1.20506691048,0.475552450536,-0.679644806945
1583763095178580182,1.20410003248,0.476225105379,-0.678328392448
1583763095279437412,1.20397659047,0.476450061011,-0.678874323468
1583763095375444096,1.20409294816,0.474808452529,-0.678437397641
1583763095475177275,1.20378269539,0.474345411768,-0.677796348569
1583763095578335474,1.20355579812,0.473946910624,-0.67823190894
1583763095678764170,1.20494511988,0.471090274181,-0.679566544991
1583763095776609917,1.20501746984,0.474261094451,-0.679874253723
1583763095878695450,1.20449996318,0.473473917729,-0.679186898924
1583763095976443990,1.20546813921,0.474445260201,-0.680062574937
1583763096079705802,1.20586514913,0.472060106896,-0.680289614775
1583763096182906848,1.2048873549,0.471837598838,-0.678756090661
1583763096279511371,1.2054504284,0.473790920441,-0.679615321308
1583763096377617114,1.20598459296,0.472548384779,-0.679708696879
1583763096573156329,1.20563764402,0.470940768801,-0.679774384931
1583763096621511449,1.20589484378,0.4744021056,-0.679850480672
1583763096802799023,1.2068107542,0.475286887306,-0.680984916095
